	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
Colletotrichum_abscissum	0.0	25.0	115.0	48.0	123.0	34.0	33.0	113.0
Colletotrichum_acutatum	21.0	0.0	42.0	32.0	30.0	14.0	23.0	41.0
Colletotrichum_fructicola	124.0	51.0	0.0	17.0	165.0	40.0	58.0	165.0
Colletotrichum_gloeosporioides	51.0	30.0	12.0	0.0	40.0	29.0	2.0	48.0
Colletotrichum_godetiae	122.0	41.0	138.0	37.0	0.0	36.0	33.0	143.0
Colletotrichum_karsti	29.0	14.0	33.0	29.0	33.0	0.0	23.0	30.0
Colletotrichum_siamense	35.0	22.0	48.0	2.0	33.0	20.0	0.0	80.0
Colletotrichum_truncatum	118.0	41.0	165.0	49.0	117.0	31.0	28.0	0.0
