	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
Colletotrichum_abscissum	13534	12177	11439	11046	12532	10359	11021	10793
Colletotrichum_acutatum	12177	12594	11125	10729	11851	10119	10767	10455
Colletotrichum_fructicola	11439	11125	14371	12981	11280	11229	13451	11265
Colletotrichum_gloeosporioides	11046	10729	12981	13440	10878	10895	12560	10916
Colletotrichum_godetiae	12532	11851	11280	10878	13108	10248	10889	10633
Colletotrichum_karsti	10359	10119	11229	10895	10248	11683	10949	10365
Colletotrichum_siamense	11021	10767	13451	12560	10889	10949	13621	10890
Colletotrichum_truncatum	10793	10455	11265	10916	10633	10365	10890	12092
