	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
Colletotrichum_abscissum	0.0	13007.0	12268.0	11786.0	13486.0	10935.0	11693.0	11517.0
Colletotrichum_acutatum	12902.0	0.0	11767.0	11327.0	12602.0	10574.0	11326.0	10953.0
Colletotrichum_fructicola	12759.0	12210.0	0.0	14340.0	12480.0	12277.0	14867.0	12389.0
Colletotrichum_gloeosporioides	12016.0	11634.0	14141.0	0.0	11804.0	11758.0	13669.0	11800.0
Colletotrichum_godetiae	13533.0	12659.0	12107.0	11584.0	0.0	10825.0	11537.0	11336.0
Colletotrichum_karsti	11182.0	10849.0	12079.0	11703.0	11015.0	0.0	11741.0	11095.0
Colletotrichum_siamense	11928.0	11522.0	14598.0	13577.0	11690.0	11709.0	0.0	11694.0
Colletotrichum_truncatum	11832.0	11249.0	12250.0	11797.0	11533.0	11207.0	11673.0	0.0
